,ind,text,hatebert_prob,roberta_prob,hatebert_pred,roberta_pred,token_len,char_len,label,id
0,0,@USER @USER @USER @USER @USER Hahah a left telling a right he is making everything political.. too f’n funny!,0.25409229664452915,0.3867344944500545,0,0,28,109,0,24590
1,4,@USER @USER A horrendous act of course. Conservatives lie like they breath and are just generally awful human beings. I don’t doubt the victims story even a tiny bit,0.8435732109776704,0.3867344944500545,1,0,35,165,1,51557
2,8,@USER Another uninformed,0.2125587552724714,0.3867344944500545,0,0,4,24,0,33797
3,13,@USER @USER @USER Even those who voted leave did not vote for this @USER @USER,0.07953143713100509,0.3867055433214176,0,0,20,78,0,97608
4,21,@USER man can we hang out you are hilarious,0.1061334359169432,0.3867344944500545,0,0,10,43,0,16311
5,22,"@USER Suddenly BozoObama is NOT politician""...&amp; certainly NOT that HE &amp; BillAyers &amp;DISGRACED ErikHolder started Police brutality Antifa,BLM,OWS ""movements"" &amp; didn't fund our US military as B4 for 8 yrs,but GAVE WORLD SPONSER OF TERROR IRAN $170. bil... NOOO!; not ol' ISIS-LOVER 'Bama.""",0.16681108821314683,0.3867344944500545,0,0,73,302,0,33193
6,25,@USER It’s Good for our Gun Business. More Guns sell when these people bring up Gun Control. Keep up the Great Work. Guns for All.,0.2794104808843965,0.3867344944500545,0,0,32,130,1,13670
7,32,@USER Conservatives Are NOT his fan base have not been forever!!!!! Just trying to take out #Beto support and this is BS!!!,0.08306850100767248,0.3867344944500545,0,0,32,123,0,13902
8,34,@USER Fresh boy think he is strong 😂,0.13273923603800128,0.3867344944500545,0,0,9,36,0,17691
9,35,@USER @USER @USER Not by the tea leaves you use by simple logic. You know that thing that comes from common sense.  Right no you don't know.  Winning Deplorables MAGA God Bless you.,0.3880236274873895,0.3867344944500545,0,0,41,181,0,13020
10,36,@USER hey Samsung on your website you declined me. 2 times for credit I can afford your phone without your ass this is my second one maybe next time even though I hate iPhone I'll buy iPhone so screw you,0.9323301890181837,0.3867344944500545,1,0,43,203,1,57645
11,38,@USER Nope. Not going to miss his sorry ass at all.,0.9325147908355358,0.3867344944500545,1,0,14,51,1,33810
12,56,"@USER @USER @USER @USER Families being separated at the border. In fact, the picture of children in cages that Liberals were using to show how evil"" Trump is was actually taken while OBAMA was President""",0.7162186093168913,0.3867344944500545,1,0,43,203,0,70402
13,67,@USER @USER #Westminster @USER #Tories @USER @USER @USER @USER Absolutely pathetic #appeasement 😠😠😠,0.10999224503565248,0.3867055433214176,0,0,23,99,1,99630
14,69,@USER Drill baby drill,0.20252204145893907,0.3867344944500545,0,0,5,22,0,88011
15,74,@USER You 100% believe AB would be the player he is today without Big Ben?,0.12341844001588721,0.3867344944500545,0,0,18,74,0,85083
16,75,@USER I would Starfleet Antifa was here to witness.  RIP,0.12241825973580353,0.3867344944500545,0,0,12,56,0,93493
17,78,@USER @USER OMG!!! She is perfect!!!!!,0.07024004744506827,0.3867344944500545,0,0,16,38,0,32699
18,83,@USER He is telling you he knows where his bum is. Writes “ass” with his bottom. What more proof of higher intelligence do you need?,0.9037198997219263,0.3867344944500545,1,0,31,132,1,82666
