ind,text,hatebert_prob,roberta_prob,hatebert_pred,roberta_pred,token_len,char_len,hb_lex_occurr,hb_lex_ngrams_prop,label,id
4,@USER @USER A horrendous act of course. Conservatives lie like they breath and are just generally awful human beings. I don’t doubt the victims story even a tiny bit,0.8791467675095294,0.810403895909532,1,1,35,165,0,0.0,1,51557
9,@USER We've got a big story coming out (most probably next week) about the Communist origins of Antifa. I hope you can join us @USER,0.09065495092935208,0.07599521481895796,0,0,31,132,0,0.0,0,30091
16,@USER I just know my family lives out west. Hard core conservatives. They love Bernier. All their friends love him. That is going to split the party. Alberta is huge PC block. Not my politics but you can’t choose family. 🙄,0.28224564578055417,0.08733005065546848,0,0,51,222,0,0.0,0,66467
29,@USER @USER Sir now to Russia....Putin is broke and a little bit crazy...The paltry 1.7 Trillion GDP might cause desperate actions from his dying regime. Denuclearization in exchange for oil patch tech. Thats all they have.. Sir..MAGA,0.8458787918763196,0.43883779867517364,1,0,48,234,0,0.0,1,61302
38,@USER Nope. Not going to miss his sorry ass at all.,0.9038472807777156,0.9182606166577373,1,1,14,51,0,0.0,1,33810
39,@USER And apparently Serena’s cheating and temper tantrum was the only pathway to this endeavor.,0.6735138636573648,0.4708278467412066,1,0,19,96,0,0.0,0,34020
50,@USER  Mr. Woods....Please help if you will.  @USER has published an ANTIFA target list on his Twitter Account with names of high profile and other Trump supporters. I have reported this to Twitter. They have NOT suspended his account.,0.15215818132123216,0.07329727648874514,0,0,48,235,0,0.0,0,24905
62,@USER I have backtraced your IP and have sent you information to AntiFa.,0.0984254123665623,0.05155818952427454,0,0,15,72,0,0.0,0,22493
65,"@USER You act like that won't be fun for both of us.""  She contemplates getting down, he's been gone for a few minutes and she's just standing on a chair like a weirdo.   Just as she is about to get down she sees him walk through the door.   ""Technically I only thought about it.""""",0.8312800585034169,0.7809132150514742,1,1,67,281,0,0.0,0,70721
70,"@USER @USER @USER But what makes you think they are liberals?  There is nothing liberal about any of that.  These people spent the '90s insulting liberals, publicly humiliating black activists, and openly attacking the New Deal.  Where is the liberal"" part?  They passed GOP policies!""",0.49597176684393335,0.5399840204458375,0,1,57,285,0,0.0,1,20339
71,&gt;Literally runs through the wall. There was now a hole.  Master! You are okay? URL,0.5383765218689693,0.32007699910037374,1,0,22,85,0,0.0,0,16936
75,@USER I would Starfleet Antifa was here to witness.  RIP,0.14718705931219023,0.03803509253268273,0,0,12,56,0,0.0,0,93493
76,@USER @USER @USER @USER @USER @USER Deserved better,0.10030433369289754,0.015618541951030282,0,0,14,51,0,0.0,0,71447
82,@USER BE GONE THOT (no offence intended she is probably a very nice lady🙂),0.06267437168835181,0.13992440563866035,0,0,17,74,0,0.0,0,79562
86,@USER She does not remember? Of course she doesn’t! She is making it up as she goes and with the “ help” of her therapist and all the others that believes her BS story. Maybe if she gets hypnotized she will miraculously remember “ more details” #Freakingliars liberals obstructionist🤬,0.20677389231530607,0.7907727820408305,0,1,58,284,0,0.0,0,36876
88,@USER Brilliant journalistic commentary here,0.13852004798255418,0.03541073007632382,0,0,6,44,0,0.0,0,39296
89,@USER @USER @USER 'Think she is one of the Demoncrats.  Hard to imagine that a sane (or living) person would vote for her.,0.12085323249047067,0.5454219133450635,0,1,30,122,0,0.0,0,58457
91,@USER Been a Willie fan since before most of you were born....LOVE that he is holding a rally with Beto.... Exactly WHICH fans are furious?  Could you give some specifics? URL,0.2108069204839795,0.12116485105036724,0,0,37,175,0,0.0,0,63236
95,Bias Blockers: The New Glasses Made for #MAGA Racists and Homophobes — WATCH URL URL,0.28746767841066756,0.7581974334647166,0,1,17,84,0,0.0,1,51015
96,IN HONOR OF #ConstitutionDay  I PURCHASED A #TRUMP t-SHIRT AND A #MAGA HAT  #TRUMPTRAIN #LIBERTY #FREEDOM #AMERICA #USA #LIBERTY URL,0.32664721120445817,0.1545673283700442,0,0,29,132,0,0.0,0,34873
97,@USER That or she is an awfully good transvestite,0.28626899871062145,0.7609616538765349,0,1,10,49,0,0.0,1,13698
99,*waits for a buncha braindead rednecks to burn the Levi's that they're wearing and get hauled off to the ER en masse* URL,0.8996075036065069,0.7995205970395167,1,1,27,121,1,0.0,1,67606
102,@USER This is not conservative. What has happened to our party ? Lost the plot. @USER,0.13341521726397837,0.22841456549200834,0,0,20,85,0,0.0,0,36866
103,@USER @USER @USER @USER @USER @USER This is why we follow each other -such peace in my Twitter Avenue is amazing URL,0.049130788754100714,0.023264104791661407,0,0,28,116,0,0.0,0,25616
106,Americans are smarter than you think.  #MAGA  #VoteRed2018 #RedWaveRising2018 #SaveOurCountry #VoteDemsOut URL,0.42521360055363855,0.1044773231302369,0,0,18,110,0,0.0,0,74843
107,@USER Breitbart must be hacked! Your headline says it all.,0.20347002038944192,0.2349767015660288,0,0,13,58,0,0.0,1,68660
113,@USER 2018-09-14 23:57  Congratulations! You are on no blocklists that we can find by scraping publicly available blocktogether lists  Please check my follows for people incorrectly blocked - URL,0.21539199945895643,0.11201595092000365,0,0,31,195,0,0.0,0,38696
121,@USER @USER You are so correct the Democratic party for slavery and pro-nazi gun control,0.347758583644727,0.4326063900657787,0,0,17,88,0,0.0,1,58203
131,@USER Amazing how Dems don’t feel they owe it to unborn generations to keep ILLEGALS out!!,0.17462130374351795,0.15203224162217424,0,0,21,90,0,0.0,1,36435
133,@USER According the gore hurricane hazel in 1955 was Trumps fault and all the typhoons cyclones and hurricanes are all Trumps fault   And Trump colluded   with God to defeat Hillary.   All true!,0.4816976341886794,0.2545089680533679,0,0,35,194,0,0.0,1,41737
139,"@USER primary argument against #Kavanaugh is that he is too Constitutional""  The democrats started a civil war during Clinton  They heightened their propaganda during Obama  They are scared animals backed into a corner  Antifa, BLM &amp; MS13 are their Sturmabteilung""",0.6013302110835349,0.47991498854022285,1,0,47,268,0,0.0,1,18220
143,@USER BS.  People died in PR because the local government is corrupt.,0.7428416803947386,0.8464508271169839,1,1,15,69,0,0.0,1,49942
149,@USER @USER I love Danielle because she is such a caring and genuine person! Her smile and positive energy brings out the best in everyone. You can always count on her to bring some sunshine into any rainy day ❣️☺️,0.0513199424260605,0.02299930337814841,0,0,44,214,0,0.0,0,77613
154,@USER Manafort has been on K street for a long time. He knows things. Deep dark things. I agree. He is gonna burn some folk. Mueller already knows who he wants. Manafort is gonna give them up.,0.6317008117840804,0.49206609567370063,1,0,47,192,0,0.0,1,84508
156,@USER @USER Choosing heartless politician over your ancestors country.  Speaks volumes as to who you are.,0.451991616492522,0.22431022200067674,0,0,20,105,0,0.0,1,99942
158,@USER Another overdose nigga:(,0.9391923492641306,0.8763701030992949,1,1,7,30,0,0.0,1,29297
163,@USER Get that boy a pie! Stat!,0.7230162096979416,0.8151589289695361,1,1,10,31,0,0.0,0,68143
169,@USER God bless my uncle has cancer too but she is in a better place now,0.27623879878429863,0.11864014403273865,0,0,17,72,0,0.0,0,98466
185,@USER #Liberals are muck rakers. They have NO platform to run on. NONE! Culling vulnerable people from the late decades... of the last century... of the previous millennium... shows how desperate they are to be heard. Now they’re loitering around high schools looking for rumors. Sad!,0.797043877764327,0.793105951184112,1,1,59,284,0,0.0,1,66163
191,@USER Consider the source. It's only Bono.,0.11027937158609119,0.03258974476602535,0,0,11,42,0,0.0,0,97915
196,@USER Kamala Harris speaks to those she disagrees with in a condescending fashion that I find gutter like! I want to snatch her bald headed routinely! She is so full of herself and is very unbecoming! 😠😡🤬😤,0.744284789133903,0.6099453533433886,1,1,41,205,0,0.0,0,27295
210,@USER @USER @USER #TrumpDerangementSyndrome Case number 3837252 Wow #liberals got it bad about the same as the #msm,0.4257992138918565,0.17328820592932656,0,0,24,115,0,0.0,0,53500
211,@USER David Dennison might know where he is.,0.061593157017670506,0.02544385646146083,0,0,10,44,0,0.0,0,25654
215,@USER As we now know there were scandals.  They were covered up very well.  That's coming to end.  Slowly but surely.,0.10994445435675228,0.20975281621073197,0,0,27,117,0,0.0,0,67089
216,@USER @USER Melting snow flakes,0.1748325304137765,0.11696559054638428,0,0,7,31,0,0.0,0,14948
222,@USER if you ever want a record setting bad election for the liberals in quebec you need to go back to this URL,0.27105869850119335,0.13817081189705613,0,0,24,111,0,0.0,0,87863
231,@USER @USER This is going shake the church to the ground!,0.28714274044394966,0.10956278375387732,0,0,14,57,0,0.0,0,11604
234,@USER Boycott the NFL,0.28626899871062145,0.15694293986718819,0,0,5,21,0,0.0,0,70556
242,@USER @USER We all know this is another Liberals Corruption!!,0.10502680874233815,0.8145696306089811,0,1,14,61,0,0.0,1,20123
245,@USER About fifty deaths per weekend caused by guns in Chicago which has very strict gun control laws-,0.347758583644727,0.29690901821295673,0,0,19,102,0,0.0,0,67065
246,@USER If you are prepared to go through the necessary training and background checks then you should be able to carry a concealed firearm.,0.21419788956644056,0.07633879627658546,0,0,26,138,0,0.0,0,22520
250,"@USER It's easily digestible content.   There's no need for nuance or to even understand the story.  They can show a picture of an ANTIFA"" and get the base level emotional response their content requires in order to be profitable.""",0.20083182877979186,0.0881900448007628,0,0,47,231,0,0.0,0,30115
252,@USER yesterday this happen here😳 So much for gun control when you can't prevent a 2nd grader from bringing a gun to school huh😏 URL,0.2847500044380007,0.15882561045580995,0,0,27,132,0,0.0,1,49498
261,@USER @USER @USER ...unless you are good with an accused rapist sitting on the highest bench in the land. I'm sure your female constituents would love to hear you explain that away...,0.6803279948502727,0.5086966326215172,1,1,39,183,0,0.0,1,36537
265,@USER @USER Yes mothers now this is what the deranged left will make you do to your little boys! Are we really going to let this happen? Pure EVIL! #VoteDemsOut #MAGA #2020 #ConfirmJudgeKavanaugh @USER URL,0.8390757441161931,0.7364953740447614,1,1,45,205,0,0.0,1,92379
271,1st thing Liberals and Conservatives want to pass is the TPP trade deal URL via @USER #cdnpoli #tpp #nafta,0.11240508853787771,0.059976439737162865,0,0,23,106,0,0.0,0,83242
275,@USER #MAGA 👍  Let that set in ...... URL,0.22329236631571986,0.019197449197580246,0,0,11,41,0,0.0,0,11966
276,@USER @USER @USER Trump proposes racial profiling as a tactic 'to start thinking about' URL,0.2544163355294369,0.2223200133912429,0,0,19,91,0,0.0,0,22128
280,"@USER He lets her ramble on for a bit, smiling and admitting to himself that this is why he likes having Kate around. She is definitely a younger version of himself. Pretty sure they done did the do.""""",0.1251188220026221,0.04264239187260209,0,0,45,201,0,0.0,0,25397
286,@USER I forgot he is their foster child!,0.1780251221654129,0.0307048529108373,0,0,10,40,0,0.0,0,11160
292,@USER @USER I love the way Leona Alleslev has seen through the Liberals. She has undoubtedly seen the destruction of our choice of service to our country. Trudeau's father started its destruction in the 60's and it hasn't changed Juniors goal of destruction either. Thank you for joining us.,0.4043310294665159,0.43505750547007527,0,0,58,291,0,0.0,0,44712
295,@USER Introducing my sweet sweet baby king! He is always sooo nice! And when I try to sit on the sofa he NEVER attacks me! URL,0.32878530436984554,0.05680919990380342,0,0,30,126,0,0.0,0,36518
296,@USER Trudeau and Liberals are incompetent to handle it.,0.9025666706976193,0.8453050150325521,1,1,11,56,0,0.0,1,69417
300,@USER @USER Feinstein wanted to delay until after the midterms.  Hopefully the RED wave will wash her into the Atlantic. #MAGA,0.07075196973880456,0.062445285613984075,0,0,26,126,0,0.0,1,42410
302,@USER @USER You should investigate Antifa's connections to the Nazis.,0.07369626970604844,0.3150243401434879,0,0,14,69,0,0.0,0,26821
303,@USER I cant believe he didnt work in comet pizza. Now that Alex Jones is muted these conservatives are so lost.,0.4588639432687464,0.3073060444401649,0,0,24,112,0,0.0,1,70368
308,@USER And we have the right #Nottowatch,0.12776141236308594,0.025834187593097833,0,0,9,39,0,0.0,0,74676
310,#TwitterShouldBe a less mean environment and less biased towards conservatives.,0.2625108456160563,0.15234725135916807,0,0,12,79,0,0.0,0,11806
314,@USER I love you bitchhh I aint never gonna stop loving you.... bitchhhhhh,0.9528381329658233,0.915280347731072,1,1,16,74,0,0.0,1,82925
318,@USER @USER Love watching replays of election night 2016. And watch the media completely m let down.,0.21117270605672128,0.21912855728718836,0,0,21,100,0,0.0,0,21915
324,"@USER If you love our cops so much, why do you make it your life's goal to take away tools they need to stop crime, and put their very lives at risk? Why do you support ANTIFA thugs who assault cops and screech All Cops are Bastards""?""",0.5202221174467381,0.7486739988327564,1,1,55,235,0,0.0,1,17258
326,@USER is really THAT bitch wow,0.9492946352021693,0.9204328103206518,1,1,7,30,1,0.0,1,45400
329,9/11 and the War on Terror: Israel's History of False Flag Operations against the U.S.A.     #FalseFlags and #Propaganda are the Zionists weapon of choice. Highly effective @ getting public to back their agenda’s. #Palestine #NWO #ChosenPeople  URL,0.297214901227399,0.3342905534823624,0,0,48,248,0,0.0,0,31898
332,@USER @USER @USER @USER @USER That's my biggest question. Do we just widdle away until there is no 2nd amendment left? I do believe in some limited gun control but im worried we will be expected to just keep giving into the gun haters.,0.28517284287774947,0.4287116867423014,0,0,53,235,0,0.0,1,21932
334,@USER yep i was chatting to them about the clubs i wanted to join at uni and they said i should join antifa as it was something they did as kids,0.22380088234573584,0.03886548421411365,0,0,32,144,0,0.0,0,18970
336,Low T and the Poontang Clan aka  Fucking Donald Trump #trump #maga #art #comicart URL,0.26469084342141136,0.8312115642598488,0,1,19,85,0,0.0,0,53713
340,:(( I want him to rest 4ever :((( He is such a sleepy baby :((( URL,0.28671815270837797,0.04594820734917413,0,0,24,67,0,0.0,0,99651
343,#TheresaMay videos in an effing scarf causing vomiting to anyone with a brain ..  Is likely because all the #whiteprivilege people she's made #homeless been replaced with #Muslims who will vote #Corbyn  #MAGA #MBGA #MCGA #MEGA #Conservatives #Patriots,0.724894620400989,0.8083699504265035,1,1,50,251,0,0.0,0,24944
354,"@USER I better use some Tic Tacs just in case I start kissing her. You know, I’m automatically attracted to beautiful — I just start kissing them. It’s like a magnet.Just kiss. I don’t even wait. And when you’re a star, they let you do it. You can do anything.""""",0.30002727795240997,0.06828853752779206,0,0,69,262,0,0.0,0,50415
359,#LeviStrauss Takes Stand On #GunControl #CBS #SanFrancisco URL #NoMoreLevis #guns #NRA #USA @USER #GOP #libertarian #conservative,0.25827921553026645,0.09073548763985106,0,0,28,129,0,0.0,0,48085
365,@USER And We Deplorables will use the 2A to keep our democratically elected President in Power.  How about that,0.1384617905689644,0.07709969621614801,0,0,21,111,0,0.0,0,16998
379,@USER @USER Then why the fuck did they elect him,0.7542820490738602,0.9142141631903428,1,1,12,48,0,0.0,1,23308
392,"@USER Pulling out all the stops with no holds barred is the battle tactic/strategy of the usual Secular-Progressive, Democrat, or MSM Archetype.  Before our Country...Constitution is lost Conservatives and Republicans must say, No More Mr./M's. Nice Person!""""",0.2690854486184195,0.1512157179488838,0,0,49,259,0,0.0,0,46972
393,@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER You're welcome Bob! I hope you are having an excellent Wednesday!,0.043895530220345313,0.016183903079916576,0,0,40,143,0,0.0,0,55266
398,@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER So the march is against antifa bigots and labour anti-semitism then? Did I get that right?,0.331210992701576,0.20102782123596383,0,0,86,294,0,0.0,0,80222
405,@USER Glad to see another NFL owner has read the Constitution. Unlike all the crybabies fussing over peaceful protests. #FreedomOfExpression #FreedomOfExpression is still alive. That's one of the reasons America is great!,0.08351589028919662,0.35669871645686857,0,0,40,221,0,0.0,0,52325
406,@USER Lol you are so tight 😂,0.101411324754648,0.015754247157198104,0,0,8,28,0,0.0,1,55715
