text,hatebert_pred,roberta_pred,token_len,char_len,hb_lex_occurr,hb_lex_ngrams_prop,label
All the best to #TeamIndia for another swimming competition on Sunday against #Pakistan.     #INDvPAK #ShameOnICC  #CWC19 #CWC19Rains ☔☔ ,0,0,25,137,0,0.0,0
I don’t know how much more I can take! 45 is a compulsive liar! #Trump30Hours #TrumpIsATraitor,1,1,22,94,0,0.0,1
Harbor N Bay Mens Boxer Short Pack of 2 @ Rs.299        #DoctorsFightBack #SaveBengal #amazon #flipkart #deals #dealoftheday #amazingdeals #offers #discount #JaiShreeRam #ModiForAll,0,0,33,181,0,0.0,0
Donald Trump lies.  #TrumpIsATraitor   Happy #JohnMcCainDay !  ,0,0,10,63,0,0.0,0
Now if all remaining matches will get washed   NZ - 12  Ind - 11  Eng - 10  Aus - 10  WI - 9  SL - 9  Pak - 9  Ban - 8   SA - 6  Afg - 6    Semis  Aus vs NZ (If rain doesn't stop)  NZ  Eng vs Ind (If rain doesn't stop)  Ind    Final  Ind vs NZ (If rain doesn't stop)  NZ - India will win #ShameOnICC,0,0,79,299,0,0.0,0
@ICC @bira91 This world cup 19 should be ban !! 😡😡 Rain rain rain motherfuckerr ICC   Shift this world to another country or ban this world cup 19 😡😡   #ShameOnICC 😡😡,1,0,35,166,0,0.0,1
Learn how to cover up the ground #ShameOnICC,0,0,9,44,0,0.0,0
"We have waited 4 years to see the world cup matches, not the rain. If this continues it will be very disappointing for all the fans.#ShameOnICC",0,0,30,143,0,0.0,0
Throwback to the time when Pak dedicated an entire match to its army and the ICC didn't even flinch. India must not be pressured by ICC and change #Dhoni gloves. Don't let Pak win. Boycott the WC India!    #DhoniKeepTheGlove #DhoniKeepsTheGlove #DhoniKeSaathDesh #DhoniKeepTheGloves ,0,0,53,283,0,0.0,0
#DoctorsFightBack #PresidentsRule is only option TMC goons r not in control of @mamt ,0,0,16,85,0,0.0,0
I urge every Indian to send mail to icc at enquiry@icc-cricket.com with this image asking them why he can’t keep the logo on that glove ?   #DhoniKeepTheGlove  #DhoniKeepsTheGlove ,0,0,34,180,0,0.0,0
#TrumpIsATraitor #TheResistance  Don't get me wrong there's nothing funny about what Trump said. On the other hand this is really amusing.  ,0,0,27,140,0,0.0,0
#FuckTrump 💩    $41-million settlement in 'Central Park Five' case gets final approval ,0,0,15,87,0,0.0,0
@cenkuygur You are. False journalists with agendas on none existant fabrications. #douchebag,1,0,16,92,0,0.0,0
Goddamit #fucktrump ,0,1,3,20,0,0.0,0
@ICC #ShameOnICC Now plz stop it...,1,0,9,35,0,0.0,0
Like Seriously!!! This is what i literally tell my friends everyday!    #Health #water #hydrated #healthy #WorldBloodDonorDay #NBAFinals #FridayMotivation #FridayFeeling #ShameonICC #WeTheNorth #instagramdown #India #meme #SarcasmOnly ,0,0,43,235,0,0.0,0
@Conservatives a 'Johnson' is slang for a penis. #Dickhead #NominativeDeterminism  #ToriesOut #PeoplesVote #Blindingobvious,0,0,21,123,0,0.0,1
"Stand by the doctors , with the doctors.   They need support and world needs to interfere .  #UNO #DoctorsProtest #DoctorsFightBack",0,0,24,131,0,0.0,0
@jaketapper And he looks like a bag of guts. #TrumpIsATraitor,1,1,13,61,0,0.0,0
Disappointment Remains #ShameOnICC ,0,0,4,35,0,0.0,0
